REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2016,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2083843,,,,0
2017,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2090598,,,,0
2018,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2106395,,,,0
2019,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2114539,,,,0
2020,Canada,2016A000011124,Both sexes,15 to 19 years,Persons,249,units,0,v466737,1.1.25,2100865,,,,0
1971,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,1976914,,,,0
1972,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,1989767,,,,0
1973,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2032693,,,,0
1974,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2105895,,,,0
1975,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2189679,,,,0
1976,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2252144,,,,0
1977,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2299999,,,,0
1978,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2338857,,,,0
1979,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2375040,,,,0
1980,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2423888,,,,0
1981,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2476593,,,,0
1982,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2493838,,,,0
1983,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2507305,,,,0
1984,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2515313,,,,0
1985,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2500958,,,,0
1986,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2445325,,,,0
1987,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2362542,,,,0
1988,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2255935,,,,0
1989,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2183176,,,,0
1990,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2120451,,,,0
1991,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2085828,,,,0
1992,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2067749,,,,0
1993,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2045459,,,,0
1994,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2024094,,,,0
1995,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2008487,,,,0
1996,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2000975,,,,0
1997,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2007172,,,,0
1998,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2012767,,,,0
1999,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2038540,,,,0
2000,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2068377,,,,0
2001,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2108997,,,,0
2002,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2142288,,,,0
2003,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2178032,,,,0
2004,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2210969,,,,0
2005,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2234320,,,,0
2006,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2251740,,,,0
2007,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2261331,,,,0
2008,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2264625,,,,0
2009,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2286001,,,,0
2010,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2321972,,,,0
2011,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2352455,,,,0
2012,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2389961,,,,0
2013,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2416433,,,,0
2014,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2423034,,,,0
2015,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2395623,,,,0
2016,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2387191,,,,0
2017,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2401419,,,,0
2018,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2436459,,,,0
2019,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2475546,,,,0
2020,Canada,2016A000011124,Both sexes,20 to 24 years,Persons,249,units,0,v466758,1.1.31,2482802,,,,0
1971,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,1643264,,,,0
1972,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,1751659,,,,0
1973,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,1836307,,,,0
1974,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,1916215,,,,0
1975,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,1997399,,,,0
1976,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2062690,,,,0
1977,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2080757,,,,0
1978,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2108471,,,,0
1979,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2147541,,,,0
1980,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2205508,,,,0
1981,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2251012,,,,0
1982,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2321617,,,,0
1983,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2377143,,,,0
1984,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2413180,,,,0
1985,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2440033,,,,0
1986,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2478391,,,,0
1987,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2515897,,,,0
1988,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2548739,,,,0
1989,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2591696,,,,0
1990,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2583238,,,,0
1991,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2508203,,,,0
1992,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2431959,,,,0
1993,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2336877,,,,0
1994,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2248968,,,,0
1995,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2180669,,,,0
1996,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2151476,,,,0
1997,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2129734,,,,0
1998,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2105560,,,,0
1999,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2084712,,,,0
2000,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2074212,,,,0
2001,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2073119,,,,0
2002,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2085672,,,,0
2003,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2098710,,,,0
2004,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2125033,,,,0
2005,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2151097,,,,0
2006,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2184676,,,,0
2007,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2224627,,,,0
2008,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2272852,,,,0
2009,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2321928,,,,0
2010,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2357383,,,,0
2011,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2368297,,,,0
2012,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2383927,,,,0
2013,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2393577,,,,0
2014,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2413496,,,,0
2015,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2429557,,,,0
2016,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2466106,,,,0
2017,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2513657,,,,0
2018,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2575089,,,,0
2019,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2626058,,,,0
2020,Canada,2016A000011124,Both sexes,25 to 29 years,Persons,249,units,0,v466776,1.1.37,2645240,,,,0
1971,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1342744,,,,0
1972,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1393880,,,,0
1973,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1459832,,,,0
1974,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1535174,,,,0
1975,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1608522,,,,0
1976,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1682190,,,,0
1977,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1794850,,,,0
1978,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1873956,,,,0
1979,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,1943196,,,,0
1980,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2021093,,,,0
1981,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2083832,,,,0
1982,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2095059,,,,0
1983,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2120412,,,,0
1984,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2166352,,,,0
1985,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2226396,,,,0
1986,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2283411,,,,0
1987,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2354554,,,,0
1988,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2415978,,,,0
1989,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2484325,,,,0
1990,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2533392,,,,0
1991,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2585279,,,,0
1992,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2604351,,,,0
1993,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2626757,,,,0
1994,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2639979,,,,0
1995,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2628903,,,,0
1996,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2571676,,,,0
1997,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2502145,,,,0
1998,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2402910,,,,0
1999,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2314081,,,,0
2000,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2253438,,,,0
2001,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2240374,,,,0
2002,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2231502,,,,0
2003,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2215051,,,,0
2004,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2194700,,,,0
2005,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2182110,,,,0
2006,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2171257,,,,0
2007,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2182174,,,,0
2008,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2207388,,,,0
2009,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2245345,,,,0
2010,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2283236,,,,0
2011,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2326256,,,,0
2012,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2368073,,,,0
2013,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2411649,,,,0
2014,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2447837,,,,0
2015,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2460501,,,,0
2016,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2488660,,,,0
2017,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2515087,,,,0
2018,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2553299,,,,0
2019,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2605101,,,,0
2020,Canada,2016A000011124,Both sexes,30 to 34 years,Persons,249,units,0,v466797,1.1.43,2661723,,,,0
1971,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1286302,,,,0
1972,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1277301,,,,0
1973,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1276761,,,,0
1974,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1294578,,,,0
1975,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1319874,,,,0
1976,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1354239,,,,0
1977,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1407184,,,,0
1978,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1475693,,,,0
1979,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1539105,,,,0
1980,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1601440,,,,0
1981,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1669813,,,,0
1982,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1786571,,,,0
1983,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1871515,,,,0
1984,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,1943417,,,,0
1985,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2013118,,,,0
1986,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2069972,,,,0
1987,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2093329,,,,0
1988,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2139397,,,,0
1989,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2213597,,,,0
1990,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2287613,,,,0
1991,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2347683,,,,0
1992,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2412366,,,,0
1993,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2477720,,,,0
1994,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2525883,,,,0
1995,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2570724,,,,0
1996,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2619531,,,,0
1997,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2651902,,,,0
1998,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2678644,,,,0
1999,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2695585,,,,0
2000,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2688786,,,,0
2001,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2639120,,,,0
2002,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2578328,,,,0
2003,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2490282,,,,0
2004,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2407296,,,,0
2005,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2346332,,,,0
2006,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2322767,,,,0
2007,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2307137,,,,0
2008,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2299965,,,,0
2009,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2288056,,,,0
2010,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2282303,,,,0
2011,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2272425,,,,0
2012,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2291997,,,,0
2013,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2317467,,,,0
2014,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2349272,,,,0
2015,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2371229,,,,0
2016,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2410025,,,,0
2017,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2455926,,,,0
2018,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2517339,,,,0
2019,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2581173,,,,0
2020,Canada,2016A000011124,Both sexes,35 to 39 years,Persons,249,units,0,v466815,1.1.49,2630680,,,,0
1971,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1284154,,,,0
1972,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1289466,,,,0
1973,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1293059,,,,0
1974,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1293677,,,,0
1975,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1287904,,,,0
1976,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1286062,,,,0
1977,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1280070,,,,0
1978,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1277375,,,,0
1979,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1297961,,,,0
1980,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1327519,,,,0
1981,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1368444,,,,0
1982,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1413223,,,,0
1983,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1473239,,,,0
1984,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1532700,,,,0
1985,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1593549,,,,0
1986,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1666039,,,,0
1987,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1781731,,,,0
1988,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1872614,,,,0
1989,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,1965428,,,,0
1990,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2054776,,,,0
1991,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2131364,,,,0
1992,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2146668,,,,0
1993,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2181938,,,,0
1994,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2238523,,,,0
1995,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2307182,,,,0
1996,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2371288,,,,0
1997,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2446193,,,,0
1998,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2510258,,,,0
1999,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2556120,,,,0
2000,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2600935,,,,0
2001,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2655885,,,,0
2002,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2691677,,,,0
2003,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2725756,,,,0
2004,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2754756,,,,0
2005,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2760218,,,,0
2006,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2715591,,,,0
2007,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2641231,,,,0
2008,Canada,2016A000011124,Both sexes,40 to 44 years,Persons,249,units,0,v466836,1.1.55,2548685,,,,0
